Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u","C_0603",70.358000,-71.120000,270.000000,top
"C2","100n","C_0603",71.882000,-71.120000,270.000000,top
"C3","47u","C_0603",83.058000,-89.154000,0.000000,top
"Q1","Q_NPN_BEC","SOT-23",71.628000,-79.756000,270.000000,top
"Q2","Q_NPN_BEC","SOT-23",87.122000,-96.774000,90.000000,top
"Q3","Q_NPN_BEC","SOT-23",71.120000,-84.328000,0.000000,top
"Q4","Q_NPN_BEC","SOT-23",87.376000,-93.472000,180.000000,top
"Q5","Q_NPN_BEC","SOT-23",71.120000,-89.408000,0.000000,top
"Q6","Q_NPN_BEC","SOT-23",87.376000,-84.328000,180.000000,top
"Q7","Q_NPN_BEC","SOT-23",71.882000,-96.774000,0.000000,top
"Q8","Q_NPN_BEC","SOT-23",87.122000,-79.756000,270.000000,top
"Q9","Q_NPN_BEC","SOT-23",77.978000,-99.822000,90.000000,top
"Q10","Q_NPN_BEC","SOT-23",81.026000,-81.534000,90.000000,top
"Q11","Q_NPN_BEC","SOT-23",77.470000,-81.534000,90.000000,top
"R1","R","R_0603",81.280000,-99.822000,90.000000,top
"R2","R","R_0603",86.360000,-67.818000,180.000000,top
"R3","10k","R_0603",72.644000,-76.962000,0.000000,top
"R4","10k","R_0603",83.820000,-97.536000,180.000000,top
"R5","10k","R_0603",70.104000,-81.534000,90.000000,top
"R6","10k","R_0603",87.630000,-90.170000,90.000000,top
"R7","10k","R_0603",70.612000,-86.868000,0.000000,top
"R8","10k","R_0603",87.884000,-86.868000,180.000000,top
"R9","10k","R_0603",71.120000,-93.980000,0.000000,top
"R10","10k","R_0603",88.138000,-76.708000,90.000000,top
"R11","10k","R_0603",75.692000,-97.536000,180.000000,top
"R12","10k","R_0603",82.296000,-84.074000,0.000000,top
"R13","10k","R_0603",75.946000,-84.582000,270.000000,top
"R14","R","R_0603",70.358000,-68.314000,90.000000,top
"R15","R","R_0603",73.406000,-71.120000,90.000000,top
"R16","R","R_0603",72.136000,-73.914000,90.000000,top
"R17","R","R_0603",70.358000,-73.914000,90.000000,top
"R18","R","R_0603",71.882000,-68.314000,270.000000,top
"R19","R","R_0603",73.406000,-68.314000,270.000000,top
"U3","PCA9685PW","TSSOP-28_4.4x9.7mm_Pitch0.65mm",79.502000,-71.120000,90.000000,top
